,Dry Bulb Temperature,Global Horizontal Radiation,Cooling Demand
2017-06-04 23:00:00,20.0,0.0,704.5645330543563
2017-06-05 00:00:00,20.0,0.0,182.9218418260253
2017-06-05 01:00:00,19.0,0.0,108.48775275186564
2017-06-05 02:00:00,19.0,0.0,115.64296548222197
2017-06-05 03:00:00,19.0,0.0,88.76786529278463
2017-06-05 04:00:00,18.3,0.0,92.29625265394884
2017-06-05 05:00:00,18.0,69.0,98.98771823913918
2017-06-05 06:00:00,18.0,210.0,36.04392339948743
2017-06-05 07:00:00,20.6,388.0,60.20829459622191
2017-06-05 08:00:00,22.0,564.0,51.10516321595266
2017-06-05 09:00:00,24.0,720.0,5470.852738926114
2017-06-05 10:00:00,24.0,841.0,5931.495886134756
2017-06-05 11:00:00,24.0,915.0,5990.228048611721
2017-06-05 12:00:00,24.0,938.0,7256.880812949134
2017-06-05 13:00:00,24.0,893.0,7643.044609057991
2017-06-05 14:00:00,24.0,805.0,7016.573981297696
2017-06-05 15:00:00,24.0,683.0,6375.6984098569355
2017-06-05 16:00:00,24.0,518.0,5867.070911963282
2017-06-05 17:00:00,24.0,335.0,5364.686995196194
2017-06-05 18:00:00,23.0,159.0,5104.401773830131
2017-06-05 19:00:00,23.0,40.0,4722.591327123783
2017-06-05 20:00:00,22.0,1.0,2601.628510402528
2017-06-05 21:00:00,21.0,0.0,404.72520869709626
2017-06-05 22:00:00,21.6,0.0,845.0599130208728
2017-06-05 23:00:00,21.0,0.0,653.5525897393668
2017-06-06 00:00:00,21.0,0.0,149.01498296084577
2017-06-06 01:00:00,20.3,0.0,111.8726899426604
2017-06-06 02:00:00,20.0,0.0,113.07443684268013
2017-06-06 03:00:00,19.0,0.0,103.48477151778538
2017-06-06 04:00:00,19.1,0.0,41.53288941230768
2017-06-06 05:00:00,19.0,55.0,32.18871700206191
2017-06-06 06:00:00,19.0,172.0,3.2769607580729767
2017-06-06 07:00:00,20.2,309.0,95.67823968862297
2017-06-06 08:00:00,21.0,406.0,383.17902111649795
2017-06-06 09:00:00,19.0,533.0,2283.8640830172103
2017-06-06 10:00:00,19.0,713.0,3617.4398233695624
2017-06-06 11:00:00,22.0,814.0,3498.7610798707046
2017-06-06 12:00:00,21.0,816.0,3687.4873855996275
2017-06-06 13:00:00,19.6,733.0,3990.5954999202654
2017-06-06 14:00:00,20.0,660.0,2761.347548211946
2017-06-06 15:00:00,21.0,611.0,4203.179505458667
2017-06-06 16:00:00,21.9,483.0,3365.8233563301865
2017-06-06 17:00:00,23.0,303.0,2839.6281354824787
2017-06-06 18:00:00,23.0,137.0,1984.954113428455
2017-06-06 19:00:00,21.0,34.0,2100.0519127406496
2017-06-06 20:00:00,20.0,1.0,1130.1639573420052
2017-06-06 21:00:00,20.0,0.0,674.3527934871248
2017-06-06 22:00:00,20.0,0.0,722.4783596214318
2017-06-06 23:00:00,20.0,0.0,648.001949352885
2017-06-07 00:00:00,19.0,0.0,163.70834144865458
2017-06-07 01:00:00,19.0,0.0,126.47888764565226
2017-06-07 02:00:00,19.0,0.0,115.57474888288992
2017-06-07 03:00:00,18.0,0.0,113.26881726788483
2017-06-07 04:00:00,18.0,0.0,136.2582958619744
2017-06-07 05:00:00,17.0,63.0,123.5201287249378
2017-06-07 06:00:00,17.0,182.0,134.69243126779878
2017-06-07 07:00:00,18.0,318.0,94.11703514033455
2017-06-07 08:00:00,21.0,451.0,393.3537861330113
2017-06-07 09:00:00,21.0,587.0,3631.655953313434
2017-06-07 10:00:00,22.9,702.0,4205.951818485994
2017-06-07 11:00:00,22.0,731.0,5055.481020592346
2017-06-07 12:00:00,22.0,714.0,6750.1223856252545
2017-06-07 13:00:00,24.1,710.0,6852.10246665963
2017-06-07 14:00:00,23.0,679.0,5807.7841923561755
2017-06-07 15:00:00,23.0,601.0,5979.573287233604
2017-06-07 16:00:00,23.7,470.0,5519.483103432676
2017-06-07 17:00:00,23.0,302.0,5014.187840056469
2017-06-07 18:00:00,22.0,143.0,4648.379412615272
2017-06-07 19:00:00,22.6,35.0,4387.081854766225
2017-06-07 20:00:00,21.0,1.0,2506.4045842266955
2017-06-07 21:00:00,21.0,0.0,485.3653709594981
2017-06-07 22:00:00,20.5,0.0,899.6769446588853
2017-06-07 23:00:00,20.0,0.0,706.9143291456014
2017-06-08 00:00:00,20.0,0.0,111.91023198340568
2017-06-08 01:00:00,18.9,0.0,97.60512130592934
2017-06-08 02:00:00,19.0,0.0,117.00703895607315
2017-06-08 03:00:00,19.0,0.0,119.6174082693025
2017-06-08 04:00:00,19.0,0.0,122.20540869197046
2017-06-08 05:00:00,19.0,44.0,112.60921154783149
2017-06-08 06:00:00,19.0,147.0,58.20279869609001
2017-06-08 07:00:00,19.8,269.0,139.42372670236404
2017-06-08 08:00:00,22.0,404.0,456.2317661990011
2017-06-08 09:00:00,22.0,555.0,5329.725159969135
2017-06-08 10:00:00,23.6,687.0,5440.406168827613
2017-06-08 11:00:00,23.0,810.0,5596.654467179461
